n_genomes	n_kmers	sequence
129	208519607.31711298	75%
129	24165422.616513908	core
130	2006996121.5809	total
130	549048397.384027	25%
130	337282929.0160938	50%
130	207568904.65292692	75%
130	24025226.454976097	core
131	2012161907.423762	total
131	551334872.620795	25%
131	339581702.4243274	50%
131	206631339.16144708	75%
131	23886644.41713632	core
132	2017312011.5720334	total
132	544519177.7045648	25%
132	337302818.98452866	50%
132	205706535.9725909	75%
132	23749650.096410364	core
133	2022446631.3065422	total
133	546765465.0775626	25%
133	339566917.30626214	50%
133	208471350.01594383	75%
133	23614217.7133124	core
134	2027565959.6250858	total
134	548997482.5814161	25%
134	337322085.3695519	50%
134	207549598.40657574	75%
134	23480322.094887596	core
135	2032670185.3681142	total
135	551215553.6038543	25%
135	339552566.1059064	50%
135	206640125.27003443	75%
135	23347938.65500991	core
136	2037759493.3398457	total
136	544602307.9345376	25%
136	337340753.4146855	50%
136	205742588.16684029	75%
136	23217043.375501484	core
137	2042834064.425004	total
137	546782456.5056121	25%
137	339538629.8617754	50%
137	208426398.98545623	75%
137	23087612.78803266	core
138	2047894075.701357	total
138	548949255.6596873	25%
138	337358847.4304329	50%
138	207531892.0650255	75%
138	22959623.95676384	core
139	2052939700.548264	total
139	551102971.70042	25%
139	339525091.58915687	50%
139	206648877.07178298	75%
139	22833054.46169275	core
140	2057971108.7513688	total
140	544680363.8385533	25%
140	337376390.95162416	50%
140	205777039.82482743	75%
140	22707882.382672492	core
141	2062988466.603626	total
141	546798325.2791159	25%
141	339511936.25939476	50%
141	208384487.5392512	75%
141	22584086.284067933	core
142	2067991937.0027945	total
142	548903767.9678156	25%
142	337393406.89695144	50%
142	207515667.9999712	75%
142	22461645.20001959	core
143	2072981679.5455625	total
143	550996897.2453349	25%
143	339499150.796455	50%
143	206657617.48890716	75%
143	22340538.620285966	core
144	2077957850.6184247	total
144	544753917.4098897	25%
144	337409917.7349359	50%
144	205810046.57645753	75%
144	22220746.47663679	core
145	2082920603.4854589	total
145	546813371.4015555	25%
145	339486724.09325546	50%
145	208345380.21855935	75%
145	22102249.12977127	core
146	2087870088.3731184	total
146	548861060.9554416	25%
146	337425945.6614306	50%
146	207500822.57051945	75%
146	21985027.35673665	core
147	2092806452.552165	total
147	550897126.3733771	25%
147	339474647.05120724	50%
147	206666367.4641438	75%
147	21869062.33882383	core
148	2097729840.4168503	total
148	544823461.4419079	25%
148	337441512.7949574	50%
148	205841747.37530607	75%
148	21754335.649918087	core
149	2102640393.5614645	total
149	546827846.7885242	25%
149	339462912.6476748	50%
149	208308867.1166667	75%
149	21640829.24528392	core
150	2107538250.854342	total
150	548821157.4391056	25%
150	337456641.3977686	50%
150	207487262.23404455	75%
150	21528525.45076433	core
151	2112423548.5094392	total
151	550803464.6174757	25%
151	339451516.0376847	50%
151	206675143.72030964	75%
151	21417406.952375773	core
152	2117296420.155561	total
152	544889417.0849719	25%
152	337471354.13262415	50%
152	205872263.81124166	75%
152	21307456.786281068	core
153	2122156996.9033427	total
153	546841956.0876124	25%
153	339440454.6982989	50%
153	208274758.39812046	75%
153	21198658.32912337	core
154	2127005407.4100611	total
154	548784054.6589768	25%
154	337485674.3679893	50%
154	207474899.33485255	75%
154	21090995.28870531	core
155	2131841777.942358	total
155	550715711.1001906	25%
155	339429728.62670696	50%
155	206683955.71778148	75%
155	20984451.694998104	core
156	2136666232.4369664	total
156	544952147.8493975	25%
156	337499626.5478039	50%
156	205901698.1879745	75%
156	20879011.89146626	core
157	2141478892.5594935	total
157	546855864.2310581	25%
157	339419340.60636175	50%
157	208242878.7658667	75%
157	20774660.526694275	core
158	2146279877.761355	total
158	548749723.4738775	25%
158	337513236.6462467	50%
158	207463647.3170591	75%
158	20671382.546302337	core
159	2151069305.3349056	total
159	550633647.1777079	25%
159	339409296.55944395	50%
159	206692801.56037816	75%
159	20569163.185138665	core
160	2155847290.466855	total
160	545011986.9912012	25%
160	337526532.7330866	50%
160	205930130.14903527	75%
160	20467987.95973689	core
161	2160613946.2900114	total
161	546869718.7623672	25%
161	339399606.0085918	50%
161	208213061.40237096	75%
161	20367842.66102729	core
162	2165369383.9334245	total
162	548718122.655672	25%
162	337539545.6812191	50%
162	207453414.75210595	75%
162	20268713.347291283	core
163	2170113712.570981	total
163	550557039.0529647	25%
163	339390282.67610216	50%
163	206701662.12675485	75%
163	20170586.337349217	core
164	2174847039.468508	total
164	545069287.894692	25%
164	337552310.05455387	50%
164	205957611.0824882	75%
164	20073448.20397176	core
165	2179569470.029441	total
165	546883699.0943015	25%
165	339381345.254501	50%
165	208185140.38277406	75%
165	19977285.767505873	core
166	2184281107.839093	total
166	548689243.0535643	25%
166	337564865.22077703	50%
166	207444096.68703485	75%
166	19882086.089706678	core
167	2188982054.707597	total
167	550485671.5856754	25%
167	339372818.388082	50%
167	206710491.42044085	75%
167	19787836.467766948	core
168	2193672410.7115417	total
168	545124508.6516044	25%
168	337577256.7378751	50%
168	205984153.84230852	75%
168	19694524.428536333	core
169	2198352274.2343645	total
169	546898108.24147	25%
169	339364733.90989935	50%
169	208158939.96046823	75%
169	19602137.72292291	core
170	2203021742.0055356	total
170	548663201.8284302	25%
170	337589538.0618743	50%
170	207435560.47529858	75%
170	19510664.32046978	core
171	2207680909.1385736	total
171	550419438.0190321	25%
171	339357132.381089	50%
171	206719198.80138475	75%
171	19420092.40410007	core
172	2212329869.1679344	total
172	545178344.3171813	25%
172	337601772.60831034	50%
172	206009711.74280897	75%
172	19330410.36502365	core
173	2216968714.084815	total
173	546913528.9395045	25%
173	339350064.9758274	50%
173	208134260.15607	75%
173	19241606.797799554	core
174	2221597534.371896	total
174	548640418.349134	25%
174	337614036.1564677	50%
174	207427623.53763032	75%
174	19153670.49554804	core
175	2226216419.0370674	total
175	550358527.2106695	25%
175	339343595.73868227	50%
175	206727617.74842238	75%
175	19066590.44530674	core
176	2230825455.6461773	total
176	545231922.5378351	25%
176	337626419.4855157	50%
176	206034137.61837363	75%
176	18980355.823525462	core
177	2235424730.3548136	total
177	546931080.9597145	25%
177	339337804.19729745	50%
177	208110865.175465	75%
177	18894955.991694503	core
178	2240014327.93917	total
178	548621939.8075079	25%
178	337639030.926697	50%
178	207420029.46350807	75%
178	18810380.492101535	core
179	2244594331.8260193	total
179	550303822.6351808	25%
179	339332788.2122741	50%
179	206735466.37749884	75%
179	18726619.04371242	core
180	2249164824.1218195	total
180	545286968.8959419	25%
180	337651998.13055265	50%
180	206057124.78561383	75%
180	18643661.53817136	core
181	2253725885.6409826	total
181	546952643.4830141	25%
181	339328666.717733	50%
181	208088498.30821058	75%
181	18561498.035916176	core
182	2258277595.9333324	total
182	548609708.582673	25%
182	337665467.70182467	50%
182	207412456.5829774	75%
182	18480118.762404546	core
183	2262820033.310772	total
183	550257192.5486102	25%
183	339325581.45385194	50%
183	206742343.70356148	75%
183	18399514.104447257	core
184	2267353274.8732014	total
184	545346102.0319996	25%
184	337679600.5055545	50%
184	206078176.56847316	75%
184	18319674.60664477	core
185	2271877396.533678	total
185	546981164.4538561	25%
185	339323695.1471667	50%
185	208067020.10605395	75%
185	18240590.96792338	core
186	2276392473.042879	total
186	548606688.3459343	25%
186	337694560.209238	50%
186	207404757.32914022	75%
186	18162254.038167648	core
187	2280898578.0128555	total
187	550221055.6826217	25%
187	339323176.00790715	50%
187	206748110.92068106	75%
187	18084654.81494567	core
188	2285395783.9401226	total
188	545415986.1097777	25%
188	337710497.60604	50%
188	206097157.07038355	75%
188	18007784.440324087	core
189	2289884162.2280893	total
189	547025615.557586	25%
189	339324104.01726663	50%
189	208046462.3713855	75%
189	17931634.197769746	core
190	2294363783.208857	total
190	548624058.3068321	25%
190	337727596.9370236	50%
190	207397335.19267288	75%
190	17856195.509135175	core
191	2298834716.1644	total
191	550208242.511658	25%
191	339325814.5569948	50%
191	206753647.02590674	75%
191	17781459.931724958	core
192	2303297029.3471503	total
192	545507484.6683939	25%
192	337747954.0051813	50%
192	206115148.6165803	75%
192	17707419.155440416	core
193	2307750790.0	total
193	547100627.0	25%
193	339320323.0	50%
193	208030966.0	75%
193	17634065.0	core
